full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college
D'Angelo Russell,87,#0,Minnesota Timberwolves,G,02/23/96,6-4 / 1.93,193 lbs. / 87.5 kg.,$27285000,USA,2015,1,2,Ohio State
Pascal Siakam,87,#43,Toronto Raptors,F,04/02/94,6-9 / 2.06,227 lbs. / 103 kg.,$2351838,Cameroon,2016,1,27,New Mexico State
Ben Simmons,87,#25,Philadelphia 76ers,F,07/20/96,6-10 / 2.08,240 lbs. / 108.9 kg.,$8113929,Australia,2016,1,1,LSU
De'Aaron Fox,86,#5,Sacramento Kings,G,12/20/97,6-3 / 1.91,171 lbs. / 77.6 kg.,$6392760,USA,2017,1,5,Kentucky
Devin Booker,86,#1,Phoenix Suns,G,10/30/96,6-5 / 1.96,206 lbs. / 93.4 kg.,$27285000,USA,2015,1,13,Kentucky
DeMarcus Cousins,86,#0,,C,08/13/90,6-10 / 2.08,270 lbs. / 122.5 kg.,$3500000,USA,2010,1,5,Kentucky
Andre Drummond,86,#0,Cleveland Cavaliers,C,08/10/93,6-10 / 2.08,270 lbs. / 122.5 kg.,$27093018,USA,2012,1,9,UConn
Draymond Green,86,#23,Golden State Warriors,F,03/04/90,6-6 / 1.98,230 lbs. / 104.3 kg.,$18539130,USA,2012,2,35,Michigan State
Jrue Holiday,86,#11,New Orleans Pelicans,G,06/12/90,6-3 / 1.91,180 lbs. / 81.6 kg.,$26131111,USA,2009,1,17,UCLA
Nikola Vucevic,86,#9,Orlando Magic,C,10/24/90,6-11 / 2.11,240 lbs. / 108.9 kg.,$28000000,Montenegro,2011,1,16,USC
John Wall,86,#2,Washington Wizards,G,09/06/90,6-4 / 1.93,195 lbs. / 88.5 kg.,$38199000,USA,2010,1,1,Kentucky
Jayson Tatum,85,#0,Boston Celtics,F,03/03/98,6-8 / 2.03,204 lbs. / 92.5 kg.,$7830000,USA,2017,1,3,Duke
Trae Young,85,#11,Atlanta Hawks,G,09/19/98,6-1 / 1.85,180 lbs. / 81.6 kg.,$6273000,USA,2018,1,5,Oklahoma
Eric Bledsoe,85,#6,Milwaukee Bucks,G,12/09/89,6-1 / 1.85,195 lbs. / 88.5 kg.,$15625000,USA,2010,1,18,Kentucky
Clint Capela,85,#15,Atlanta Hawks,C,05/18/94,6-10 / 2.08,211 lbs. / 95.7 kg.,$16896552,Switzerland,2014,1,25,
Tobias Harris,85,#12,Philadelphia 76ers,F,07/15/92,6-8 / 2.03,226 lbs. / 102.5 kg.,$32742000,USA,2011,1,19,Tennessee
Al Horford,85,#42,Philadelphia 76ers,C-F,06/03/86,6-9 / 2.06,246 lbs. / 111.6 kg.,$28000000,Dominican Republic,2007,1,3,Florida
Zach LaVine,85,#8,Chicago Bulls,G,03/10/95,6-6 / 1.98,181 lbs. / 82.1 kg.,$19500000,USA,2014,1,13,UCLA
Kyle Lowry,85,#7,Toronto Raptors,G,03/25/86,6-0 / 1.83,205 lbs. / 93 kg.,$33296296,USA,2006,1,24,Villanova
Khris Middleton,85,#22,Milwaukee Bucks,F,08/12/91,6-7 / 2.01,217 lbs. / 98.4 kg.,$30603448,USA,2012,2,39,Texas A&M
Chris Paul,85,#3,Oklahoma City Thunder,G,05/06/85,6-1 / 1.85,175 lbs. / 79.4 kg.,$38506482,USA,2005,1,4,Wake Forest
John Collins,84,#20,Atlanta Hawks,F,09/23/97,6-9 / 2.06,225 lbs. / 102.1 kg.,$2686560,USA,2017,1,19,Wake Forest
Buddy Hield,84,#24,Sacramento Kings,G,12/17/93,6-4 / 1.93,212 lbs. / 96.2 kg.,$4861207,The Bahamas,2016,1,6,Oklahoma
Kyle Kuzma,84,#0,Los Angeles Lakers,F,07/24/95,6-8 / 2.03,221 lbs. / 100.2 kg.,$1974600,USA,2017,1,27,Utah
Jamal Murray,84,#27,Denver Nuggets,G,02/23/97,6-4 / 1.93,201 lbs. / 91.2 kg.,$4444746,Canada,2016,1,7,Kentucky
Louis Williams,84,#23,Los Angeles Clippers,G,10/27/86,6-1 / 1.85,175 lbs. / 79.4 kg.,$8000000,USA,2005,2,45,
Marvin Bagley,83,#35,Sacramento Kings,F,03/14/99,6-11 / 2.11,235 lbs. / 106.6 kg.,$8556120,USA,2018,1,2,Duke
Bojan Bogdanovic,83,#44,Utah Jazz,G-F,04/18/89,6-8 / 2.03,216 lbs. / 98 kg.,$17000000,Croatia,2011,2,31,
Malcolm Brogdon,83,#7,Indiana Pacers,G,12/11/92,6-5 / 1.96,223 lbs. / 101.2 kg.,$20000000,USA,2016,2,36,Virginia
Danilo Gallinari,83,#8,Oklahoma City Thunder,F,08/08/88,6-10 / 2.08,225 lbs. / 102.1 kg.,$22615559,Italy,2008,1,6,
Montrezl Harrell,83,#5,Los Angeles Clippers,F,01/26/94,6-7 / 2.01,253 lbs. / 114.8 kg.,$6000000,USA,2015,2,32,Louisville
Kevin Love,83,#0,Cleveland Cavaliers,F,09/07/88,6-8 / 2.03,260 lbs. / 117.9 kg.,$28942830,USA,2008,1,5,UCLA
Lauri Markkanen,83,#24,Chicago Bulls,F-C,05/22/97,7-0 / 2.13,240 lbs. / 108.9 kg.,$5300400,Finland,2017,1,7,Arizona
Jusuf Nurkic,83,#27,Portland Trail Blazers,C,08/23/94,7-0 / 2.13,290 lbs. / 131.5 kg.,$12000000,Bosnia and Herzegovina,2014,1,16,
Julius Randle,83,#30,New York Knicks,F,11/29/94,6-8 / 2.03,250 lbs. / 113.4 kg.,$18000000,USA,2014,1,7,Kentucky
Marc Gasol,82,#33,Toronto Raptors,C,01/29/85,6-11 / 2.11,265 lbs. / 120.2 kg.,$25595700,Spain,2007,2,48,
Steven Adams,82,#12,Oklahoma City Thunder,C,07/20/93,6-11 / 2.11,255 lbs. / 115.7 kg.,$25842697,New Zealand,2013,1,12,Pittsburgh
Deandre Ayton,82,#22,Phoenix Suns,C,07/23/98,6-11 / 2.11,250 lbs. / 113.4 kg.,$9562920,The Bahamas,2018,1,1,Arizona
Spencer Dinwiddie,82,#8,Brooklyn Nets,G,04/06/93,6-5 / 1.96,205 lbs. / 93 kg.,$10605600,USA,2014,2,38,Colorado
Jaren Jackson,82,#13,Memphis Grizzlies,F-C,09/15/99,6-11 / 2.11,242 lbs. / 110 kg.,$6699960,USA,2018,1,4,Michigan State
Paul Millsap,82,#4,Denver Nuggets,F-C,02/10/85,6-7 / 2.01,250 lbs. / 113.4 kg.,$30350000,USA,2017,2,47,Louisiana Tech
Marcus Smart,82,#36,Boston Celtics,G,03/06/94,6-3 / 1.91,227 lbs. / 103 kg.,$12553571,USA,2014,1,6,Oklahoma State
Myles Turner,82,#33,Indiana Pacers,F-C,03/24/96,6-11 / 2.11,239 lbs. / 108.4 kg.,$18000000,USA,2015,1,11,Texas
Serge Ibaka,81,#9,Toronto Raptors,F,09/18/89,7-0 / 2.13,240 lbs. / 108.9 kg.,$23271604,Spain,2008,1,24,
Zion Williamson,81,#1,New Orleans Pelicans,F,07/06/00,6-6 / 1.98,284 lbs. / 128.8 kg.,$9757440,USA,2019,1,1,Duke
Rudy Gay,81,#22,San Antonio Spurs,F,08/17/86,6-8 / 2.03,230 lbs. / 104.3 kg.,$14500000,USA,2006,1,8,UConn
Aaron Gordon,81,#0,Orlando Magic,F,09/16/95,6-8 / 2.03,220 lbs. / 99.8 kg.,$19863636,USA,2014,1,4,Arizona
Brandon Ingram,81,#14,New Orleans Pelicans,F,09/02/97,6-7 / 2.01,196 lbs. / 88.9 kg.,$7265485,USA,2016,1,2,Duke
DeAndre Jordan,81,#6,Brooklyn Nets,C,07/21/88,6-11 / 2.11,265 lbs. / 120.2 kg.,$9881598,USA,2008,2,35,Texas A&M
Domantas Sabonis,81,#11,Indiana Pacers,F-C,05/03/96,6-11 / 2.11,231 lbs. / 104.8 kg.,$3529554,Lithuania,2016,1,11,Gonzaga
Jonas Valanciunas,81,#17,Memphis Grizzlies,C,05/06/92,6-11 / 2.11,231 lbs. / 104.8 kg.,$16000000,Lithuania,2011,1,5,
Hassan Whiteside,81,#21,Portland Trail Blazers,C,06/13/89,7-0 / 2.13,235 lbs. / 106.6 kg.,$27093018,USA,2010,2,33,Marshall
Derrick Rose,80,#25,Detroit Pistons,G,10/04/88,6-2 / 1.88,190 lbs. / 86.2 kg.,$7317074,USA,2008,1,1,Memphis
Robert Covington,80,#33,Houston Rockets,F,12/14/90,6-7 / 2.01,209 lbs. / 94.8 kg.,$11301219,USA,2013,Undrafted,Undrafted,Tennessee State
Derrick Favors,80,#22,New Orleans Pelicans,F,07/15/91,6-9 / 2.06,246 lbs. / 111.6 kg.,$17650000,USA,2010,1,3,Georgia Tech
Gordon Hayward,80,#20,Boston Celtics,F,03/23/90,6-7 / 2.01,207 lbs. / 93.9 kg.,$32700690,USA,2010,1,9,Butler
Reggie Jackson,80,#0,Los Angeles Clippers,G,04/16/90,6-3 / 1.91,208 lbs. / 94.3 kg.,$17799677,USA,2011,1,24,Boston College
Enes Kanter,80,#11,Boston Celtics,C,05/20/92,6-10 / 2.08,262 lbs. / 118.8 kg.,$4767000,Turkey,2011,1,3,
Otto Porter,80,#22,Chicago Bulls,F,06/03/93,6-8 / 2.03,198 lbs. / 89.8 kg.,$27250576,USA,2013,1,2,Georgetown
JJ Redick,80,#4,New Orleans Pelicans,G,06/24/84,6-3 / 1.91,190 lbs. / 86.2 kg.,$13486300,USA,2006,1,11,Duke
Josh Richardson,80,#0,Philadelphia 76ers,G,09/15/93,6-5 / 1.96,200 lbs. / 90.7 kg.,$10116576,USA,2015,2,40,Tennessee
TJ Warren,80,#1,Indiana Pacers,F,09/05/93,6-8 / 2.03,220 lbs. / 99.8 kg.,$11060000,USA,2014,1,14,NC State
Ja Morant,79,#12,Memphis Grizzlies,G,08/10/99,6-3 / 1.91,174 lbs. / 78.9 kg.,$8730240,USA,2019,1,2,Murray State
Bam Adebayo,79,#13,Miami Heat,F-C,07/18/97,6-9 / 2.06,243 lbs. / 110.2 kg.,$3454080,USA,2017,1,14,Kentucky
Jarrett Allen,79,#31,Brooklyn Nets,C,04/20/98,6-11 / 2.11,234 lbs. / 106.1 kg.,$2376840,USA,2017,1,22,Texas
Lonzo Ball,79,#2,New Orleans Pelicans,G,10/27/97,6-6 / 1.98,190 lbs. / 86.2 kg.,$8719320,USA,2017,1,2,UCLA
Harrison Barnes,79,#40,Sacramento Kings,F,05/30/92,6-8 / 2.03,210 lbs. / 95.3 kg.,$24147727,USA,2012,1,7,North Carolina
Patrick Beverley,79,#21,Los Angeles Clippers,G,07/12/88,6-1 / 1.85,180 lbs. / 81.6 kg.,$12345680,USA,2009,2,42,Arkansas
Jaylen Brown,79,#7,Boston Celtics,F,10/24/96,6-6 / 1.98,223 lbs. / 101.2 kg.,$6534829,USA,2016,1,3,California
Willie Cauley-Stein,79,#0,Dallas Mavericks,C,08/18/93,7-0 / 2.13,242 lbs. / 109.8 kg.,$2177483,USA,2015,1,6,Kentucky
Goran Dragic,79,#7,Miami Heat,G,05/06/86,6-3 / 1.91,190 lbs. / 86.2 kg.,$19217900,Slovenia,2008,2,45,
Shai Gilgeous-Alexander,79,#2,Oklahoma City Thunder,G,07/12/98,6-5 / 1.96,180 lbs. / 81.6 kg.,$3952920,Canada,2018,1,11,Kentucky
Gary Harris,79,#14,Denver Nuggets,G,09/14/94,6-4 / 1.93,205 lbs. / 93 kg.,$17839286,USA,2014,1,19,Michigan State
Joe Ingles,79,#2,Utah Jazz,F,10/02/87,6-7 / 2.01,209 lbs. / 94.8 kg.,$11454546,Australia,2009,Undrafted,Undrafted,
Jeremy Lamb,79,#26,Indiana Pacers,G,05/30/92,6-5 / 1.96,180 lbs. / 81.6 kg.,$10500000,USA,2012,1,12,UConn
Brook Lopez,79,#11,Milwaukee Bucks,C,04/01/88,7-0 / 2.13,265 lbs. / 120.2 kg.,$12093024,USA,2008,1,10,Stanford
JaVale McGee,79,#7,Los Angeles Lakers,C,01/19/88,7-0 / 2.13,270 lbs. / 122.5 kg.,$4000000,USA,2008,1,18,Nevada
Mitchell Robinson,79,#23,New York Knicks,C,04/01/98,7-0 / 2.13,223 lbs. / 101.2 kg.,$1559712,USA,2018,2,36,
Terrence Ross,79,#8,Orlando Magic,G,02/05/91,6-6 / 1.98,206 lbs. / 93.4 kg.,$12500000,USA,2012,1,8,Washington
Tristan Thompson,79,#13,Cleveland Cavaliers,F,03/13/91,6-9 / 2.06,225 lbs. / 102.1 kg.,$18539130,Canada,2011,1,4,Texas
PJ Tucker,79,#17,Houston Rockets,F,05/05/85,6-5 / 1.96,225 lbs. / 102.1 kg.,$8349039,USA,2006,2,35,Texas
Fred VanVleet,79,#23,Toronto Raptors,G,02/25/94,6-1 / 1.85,197 lbs. / 89.4 kg.,$9346153,USA,2006,Undrafted,Undrafted,Wichita State
Andrew Wiggins,79,#22,Golden State Warriors,F,02/23/95,6-7 / 2.01,197 lbs. / 89.4 kg.,$27504630,Canada,2014,1,1,Kansas
Thaddeus Young,79,#21,Chicago Bulls,F,06/21/88,6-8 / 2.03,220 lbs. / 99.8 kg.,$12900000,USA,2007,1,12,Georgia Tech
RJ Barrett,78,#9,New York Knicks,G,06/14/00,6-6 / 1.98,202 lbs. / 91.6 kg.,$7839960,Canada,2019,1,3,Duke
Ricky Rubio,78,#11,Phoenix Suns,G,10/21/90,6-3 / 1.91,180 lbs. / 81.6 kg.,$16200000,Spain,2009,1,5,
Will Barton,78,#5,Denver Nuggets,G,01/06/91,6-5 / 1.96,175 lbs. / 79.4 kg.,$12776786,USA,2012,2,40,Memphis
Bogdan Bogdanovic,78,#8,Sacramento Kings,G,08/18/92,6-6 / 1.98,205 lbs. / 93 kg.,$8529386,Serbia,2014,1,27,
Thomas Bryant,78,#13,Washington Wizards,F-C,07/31/97,6-10 / 2.08,241 lbs. / 109.3 kg.,$8000000,USA,2017,2,42,Indiana
Wendell Carter,78,#34,Chicago Bulls,C,04/16/99,6-9 / 2.06,259 lbs. / 117.5 kg.,$5201400,USA,2018,1,7,Duke
Jordan Clarkson,78,#8,Utah Jazz,G,06/07/92,6-4 / 1.93,186 lbs. / 84.4 kg.,$13437500,Philippines,2014,2,46,Missouri
Evan Fournier,78,#10,Orlando Magic,G,10/29/92,6-7 / 2.01,190 lbs. / 86.2 kg.,$17150000,France,2012,1,20,
Eric Gordon,78,#10,Houston Rockets,G,12/25/88,6-3 / 1.91,215 lbs. / 97.5 kg.,$14057730,USA,2008,1,7,Indiana
JaMychal Green,78,#4,Los Angeles Clippers,F,06/21/90,6-8 / 2.03,220 lbs. / 99.8 kg.,$4767000,USA,2012,Undrafted,Undrafted,Alabama
Joe Harris,78,#12,Brooklyn Nets,G,09/06/91,6-6 / 1.98,215 lbs. / 97.5 kg.,$7666667,USA,2014,2,33,Virginia
Andre Iguodala,78,#9,Miami Heat,G-F,01/28/84,6-6 / 1.98,207 lbs. / 93.9 kg.,$17185185,USA,2004,1,9,Arizona
Caris LeVert,78,#22,Brooklyn Nets,G,08/25/94,6-6 / 1.98,191 lbs. / 86.6 kg.,$2625717,USA,2016,1,20,Michigan
Marcus Morris,78,#0,Los Angeles Clippers,F,09/02/89,6-8 / 2.03,235 lbs. / 106.6 kg.,$15000000,USA,2011,1,14,Kansas
Dejounte Murray,78,#5,San Antonio Spurs,G,09/19/96,6-4 / 1.93,170 lbs. / 77.1 kg.,$2321735,USA,2016,1,29,Washington
Larry Nance Jr,78,#22,Cleveland Cavaliers,F,01/01/93,6-7 / 2.01,227 lbs. / 103 kg.,$12727273,USA,2015,1,27,Wyoming
Kelly Olynyk,78,#9,Miami Heat,C,04/19/91,6-11 / 2.11,234 lbs. / 106.1 kg.,$12667885,Canada,2013,1,13,Gonzaga
Kelly Oubre,78,#3,Phoenix Suns,F-G,12/09/95,6-7 / 2.01,203 lbs. / 92.1 kg.,$15625000,USA,2015,1,15,Kansas
Jabari Parker,78,#0,Sacramento Kings,F,03/15/95,6-8 / 2.03,235 lbs. / 106.6 kg.,$6500000,USA,2014,1,2,Duke
Bobby Portis,78,#1,New York Knicks,F-C,02/10/95,6-10 / 2.08,246 lbs. / 111.6 kg.,$15000000,USA,2015,1,22,Arkansas
Terry Rozier,78,#3,Charlotte Hornets,G,03/17/94,6-1 / 1.85,190 lbs. / 86.2 kg.,$19894737,USA,2015,1,16,Louisville
Dennis Schroeder,78,#17,Oklahoma City Thunder,G,09/15/93,6-1 / 1.85,172 lbs. / 78 kg.,$15500000,Germany,2013,1,17,
Jeff Teague,78,#0,Atlanta Hawks,G,06/10/88,6-3 / 1.91,181 lbs. / 82.1 kg.,$19000000,USA,2009,1,19,Wake Forest
Derrick White,78,#4,San Antonio Spurs,G,07/02/94,6-4 / 1.93,200 lbs. / 90.7 kg.,$1948080,USA,2017,1,29,Colorado
Justise Winslow,78,#0,Memphis Grizzlies,F,03/26/96,6-6 / 1.98,222 lbs. / 100.7 kg.,$13000000,USA,2015,1,10,Duke
Darius Garland,77,#10,Cleveland Cavaliers,G,06/26/00,6-1 / 1.85,175 lbs. / 79.4 kg.,$6400920,USA,2019,1,5,Vanderbilt
De'Andre Hunter,77,#12,Atlanta Hawks,F,12/01/97,6-7 / 2.01,225 lbs. / 102.1 kg.,$7068360,USA,2019,1,4,Virginia
Al-Farouq Aminu,77,#2,Orlando Magic,F,09/21/90,6-8 / 2.03,215 lbs. / 97.5 kg.,$9258000,Nigeria,2010,1,8,Wake Forest
Mo Bamba,77,#5,Orlando Magic,C,05/12/98,7-0 / 2.13,225 lbs. / 102.1 kg.,$5697600,USA,2018,1,6,Texas
Nicolas Batum,77,#5,Charlotte Hornets,F-G,12/14/88,6-9 / 2.06,210 lbs. / 95.3 kg.,$25565217,France,2008,1,25,
Malik Beasley,77,#0,Minnesota Timberwolves,G,11/26/96,6-4 / 1.93,198 lbs. / 89.8 kg.,$2731713,USA,2016,1,19,Florida State
Nemanja Bjelica,77,#88,Sacramento Kings,F-G,05/09/88,6-10 / 2.08,224 lbs. / 101.6 kg.,$6825000,Serbia,2010,2,35,
DeMarre Carroll,77,#0,Houston Rockets,F,07/27/86,6-6 / 1.98,212 lbs. / 96.2 kg.,$7339258,USA,2009,1,27,Missouri
Ed Davis,77,#17,Utah Jazz,F,06/05/89,6-9 / 2.06,215 lbs. / 97.5 kg.,$4767000,USA,2010,1,13,North Carolina
Taj Gibson,77,#67,New York Knicks,F,06/24/85,6-9 / 2.06,225 lbs. / 102.1 kg.,$9000000,USA,2009,1,26,USC
Jerami Grant,77,#9,Denver Nuggets,F,03/12/94,6-8 / 2.03,214 lbs. / 97.1 kg.,$9346153,USA,2014,2,39,Syracuse
Danny Green,77,#14,Los Angeles Lakers,G,06/22/87,6-6 / 1.98,209 lbs. / 94.8 kg.,$14634147,USA,2009,2,46,North Carolina
Tim Hardaway Jr,77,#11,Dallas Mavericks,G,03/16/92,6-5 / 1.96,199 lbs. / 90.3 kg.,$20025127,USA,2013,1,24,Michigan
Alex Len,77,#0,Sacramento Kings,C,06/16/93,7-0 / 2.13,225 lbs. / 102.1 kg.,$4160000,Ukraine,2013,1,5,Maryland
Kevon Looney,77,#5,Golden State Warriors,F,02/06/96,6-9 / 2.06,222 lbs. / 100.7 kg.,$4464286,USA,2015,1,30,UCLA
Monte Morris,77,#11,Denver Nuggets,G,06/27/95,6-2 / 1.88,175 lbs. / 79.4 kg.,$1588231,USA,2017,2,51,Iowa State
Nerlens Noel,77,#9,Oklahoma City Thunder,F-C,04/10/94,6-10 / 2.08,206 lbs. / 93.4 kg.,$1882867,USA,2013,1,6,Kentucky
Mason Plumlee,77,#24,Denver Nuggets,C-F,03/05/90,6-11 / 2.11,238 lbs. / 108 kg.,$14041096,USA,2013,1,22,Duke
Jakob Poeltl,77,#25,San Antonio Spurs,C-F,10/15/95,7-1 / 2.16,239 lbs. / 108.4 kg.,$3754885,Austria,2016,1,9,Utah
Dwight Powell,77,#7,Dallas Mavericks,F-C,07/20/91,6-10 / 2.08,234 lbs. / 106.1 kg.,$10259375,Canada,2014,2,45,Stanford
Taurean Prince,77,#2,Brooklyn Nets,F,03/22/94,6-7 / 2.01,220 lbs. / 99.8 kg.,$3481985,USA,2016,1,12,Baylor
Dario Saric,77,#20,Phoenix Suns,F,04/08/94,6-10 / 2.08,216 lbs. / 98 kg.,$3481985,Croatia,2014,1,12,
Collin Sexton,77,#2,Cleveland Cavaliers,G,01/04/99,6-1 / 1.85,190 lbs. / 86.2 kg.,$4764960,USA,2018,1,8,Alabama
Dennis Smith,77,#5,New York Knicks,G,11/25/97,6-2 / 1.88,195 lbs. / 88.5 kg.,$4463640,USA,2017,1,9,NC State
Cody Zeller,77,#40,Charlotte Hornets,C-F,10/05/92,7-0 / 2.13,230 lbs. / 104.3 kg.,$14471910,USA,2013,1,4,Indiana
Ivica Zubac,77,#40,Los Angeles Clippers,C,03/18/97,7-0 / 2.13,265 lbs. / 120.2 kg.,$6481482,Croatia,2016,2,32,
Jarrett Culver,77,#23,Minnesota Timberwolves,G,02/20/99,6-6 / 1.98,195 lbs. / 88.5 kg.,$5813640,USA,2019,1,6,Texas Tech
Willy Hernangomez,76,#9,Charlotte Hornets,C-F,05/27/94,6-11 / 2.11,255 lbs. / 115.7 kg.,$1676735,Spain,2015,2,35,
Trevor Ariza,76,#0,Portland Trail Blazers,F-G,06/30/85,6-8 / 2.03,210 lbs. / 95.3 kg.,$12200000,USA,2004,2,43,UCLA
DJ Augustin,76,#14,Orlando Magic,G,11/10/87,5-11 / 1.80,180 lbs. / 81.6 kg.,$7250000,USA,2008,1,9,Texas
Jose Juan Barea,76,#5,Dallas Mavericks,G,06/26/84,5-10 / 1.78,175 lbs. / 79.4 kg.,$2564753,Puerto Rico,2006,Undrafted,Undrafted,Northeastern
Michael Beasley,76,#0,,F,01/09/89,6-10 / 2.08,235 lbs. / 106.6 kg.,$3500000,USA,2008,1,2,Kansas State
Davis Bertans,76,#42,Washington Wizards,F,11/12/92,6-10 / 2.08,211 lbs. / 95.7 kg.,$7000000,Latvia,2011,2,42,
Avery Bradley,76,#11,Los Angeles Lakers,G,11/26/90,6-3 / 1.91,195 lbs. / 88.5 kg.,$6767000,USA,2010,1,19,Texas
Miles Bridges,76,#0,Charlotte Hornets,F,03/21/98,6-6 / 1.98,225 lbs. / 102.1 kg.,$3755400,USA,2018,1,12,Michigan State
Jalen Brunson,76,#13,Dallas Mavericks,G,08/31/96,6-1 / 1.85,190 lbs. / 86.2 kg.,$1416852,USA,2018,2,33,Villanova
Kentavious Caldwell-Pope,76,#1,Los Angeles Lakers,G,02/18/93,6-5 / 1.96,204 lbs. / 92.5 kg.,$8089282,USA,2013,1,8,Georgia
Jae Crowder,76,#99,Miami Heat,F,07/06/90,6-6 / 1.98,235 lbs. / 106.6 kg.,$7815533,USA,2012,2,34,Marquette
Dewayne Dedmon,76,#0,Atlanta Hawks,C,08/12/89,7-0 / 2.13,239 lbs. / 108.4 kg.,$13333334,USA,2013,Undrafted,Undrafted,USC
Gorgui Dieng,76,#0,Memphis Grizzlies,C,01/18/90,6-10 / 2.08,230 lbs. / 104.3 kg.,$16229213,Senegal,2013,1,21,Louisville
Gerald Green,76,#0,,F-G,01/26/86,6-6 / 1.98,192 lbs. / 87.1 kg.,$2564753,USA,2005,1,18,
Jeff Green,76,#34,Houston Rockets,F,08/28/86,6-8 / 2.03,235 lbs. / 106.6 kg.,$3405180,USA,2007,1,5,Georgetown
